CODE;Growth
1001;70.75645756
1002;5.444355484
1003;1.819454164
1004;29.44550669
1006;41.73441734
1008;30.1754386
1009;2.811621368
1010;35.93004769
1011;-10.93247588
1013;36.35144199
1014;7.390817469
1016;-7.590132827
1017;-2.483285578
1018;33.90170512
1019;-5.464480874
1020;2.898550725
1021;62.35167206
1022;7.892004154
1023;-9.523809524
1027;20.9761163
1028;19.85507246
1030;-21.97802198
1031;2.930914166
1032;8.376193975
1033;0
1034;1.431980907
1036;-6.110546311
1037;4.891684137
1039;-31.53692615
1041;-7.444168734
1042;36.46191646
1043;37.71348902
1044;4.288499025
1046;36.0754717
1047;79.53511875
1049;-24.18879056
1051;22.62483429
1052;0.956937799
1053;2.437275986
1054;45.63579973
1055;5.953002611
1056;-45.93639576
1057;-20.03284072
1058;32.98969072
1059;15.54585301
1060;1.869158879
1061;29.10216718
1062;13.33333333
1063;28.57142857
1901;62.70005649
1902;-9.451385117
2001;-24.75532527
2002;-26.5638389
2003;16.98234026
2004;-24.88716957
2005;-20.29769959
2006;-18.13070977
2007;-23.17660126
2008;-27.04114958
2009;3.048502672
2010;-3.817787419
2011;-49.52259707
2012;2.347826087
2013;-65.64102564
2014;-35.17169615
2015;-7.439122291
2016;-44.66800805
2017;-46.50499287
2018;-16.74087266
2019;-17.95086077
2020;-30.47945205
2021;3.921568627
2022;-24.46406053
2023;-45.11691884
2024;8.943556731
2025;10.63157895
2026;10.39647577
2027;-41.93138501
2028;-54.76923077
2029;26.99055331
2030;-10.19142626
2031;-26.48275862
2032;-26.00896861
2033;-0.242228502
2034;1.208791209
2035;21.99956437
2036;-13.33333333
2037;12.74722178
2038;-24.28376535
2039;-14.99592502
2040;-22.66009852
2041;-51.14254625
2042;-38.47894975
2043;-27.79573368
2044;-34.82944345
2045;2.490714442
2046;1.033210332
2047;-42.42424242
2048;-17.84501389
2049;-48.39160839
2050;-47.61904762
2051;-5.665317781
2052;12.89134438
2053;-16.13941019
2054;-4.502814259
2055;-39.78238694
2056;-20.03642987
2057;-20.33359809
2058;-48.21222607
2059;-18.52861035
2060;12.5
2061;-31.64400494
2062;-55.87188612
2063;-15.46481321
2064;-24.89270386
2065;-40.61172472
2066;-38.17863398
2067;-11.92145863
2068;-9.37896071
2069;12.85900336
2070;-24.95344507
2071;-13.75745527
2072;-12.79284022
2073;1.843242802
2074;2.948532315
2075;1.213346815
2076;-42.20623501
2077;-10.85271318
2078;-16.10346266
2079;14.63414634
2080;-34.72714387
2081;11.98514517
2082;-54.66666667
2083;-24.70119522
2084;-47.59671747
2085;-48.21222607
2086;-48.3318828
2901;6.314227285
3001;11.05354059
3002;15.72730341
3003;-12.46882793
3004;51.69112955
3005;34.41860465
3006;28.12089356
3007;54.64788732
3008;-36.86635945
