CODE_MUN;Cluster
1001;0
1002;0
1003;0
1004;0
1006;0
1008;0
1009;0
1010;0
1011;2
1013;0
1014;0
1016;4
1017;5
1018;0
1019;4
1020;0
1021;0
1022;0
1023;2
1027;0
1028;0
1030;5
1031;0
1032;0
1033;0
1034;0
1036;5
1037;0
1039;2
1041;3
1042;0
1043;0
1044;0
1046;0
1047;0
1049;2
1051;0
1052;0
1053;0
1054;0
1055;0
1056;2
1057;4
1058;0
1059;0
1060;0
1061;0
1062;0
1063;0
1901;0
1902;5
2001;4
2002;3
2003;0
2004;4
2005;6
2006;5
2007;4
2008;4
2009;0
2010;5
2011;1
2012;0
2013;1
2014;2
2015;4
2016;2
2017;1
2018;4
2019;5
2020;6
2021;0
2022;6
2023;3
2024;0
2025;0
2026;0
2027;4
2028;3
2029;0
2030;5
2031;4
2032;6
2033;5
2034;0
2035;0
2036;3
2037;0
2038;4
2039;4
2040;4
2041;1
2042;2
2043;4
2044;3
2045;0
2046;0
2047;1
2048;2
2049;1
2050;1
2051;5
2052;0
2053;5
2054;4
2055;4
2056;4
2057;4
2058;2
2059;6
2060;0
2061;4
2062;3
2063;5
2064;2
2065;2
2066;3
2067;4
2068;6
2069;0
2070;6
2071;4
2072;4
2073;0
2074;0
2075;0
2076;2
2077;1
2078;5
2079;0
2080;2
2081;0
2082;1
2083;6
2084;3
2085;1
2086;1
2901;0
3001;0
3002;0
3003;5
3004;0
3005;0
3006;0
3007;0
3008;4
3009;5
3010;0
3011;0
3012;0
3013;4
3014;0
3015;0
3016;6
3017;0
3018;0
3019;0
3020;2
3021;0
3022;1
3023;5
3024;0
3025;0
3026;0
3027;6
3028;4
3029;0
3030;0
3031;0
3032;2
3033;1
3034;0
3035;2
3036;0
3037;0
3038;2
3039;6
3040;0
3041;0
3042;0
3043;0
3044;0
3045;0
3046;0
3047;0
3048;0
3049;0
3050;0
3051;0
3052;0
3053;0
3054;6
3055;0
3056;0
3057;6
3058;0
3059;0
3060;1
3061;0
3062;0
3063;0
3064;0
3065;0
3066;0
3067;1
3068;1
3069;0
3070;0
3071;0
3072;0
3073;1
3074;0
3075;0
3076;0
3077;0
3078;0
3079;0
3080;0
3081;0
3082;0
3083;5
3084;6
3085;0
3086;0
3088;0
3089;0
3090;0
3091;0
3092;0
3093;0
3094;0
3095;0
3096;0
3097;0
3098;0
3099;0
3100;0
3101;0
3102;0
3103;3
3104;0
3105;0
3106;4
3107;0
3109;0
3110;0
3111;0
3112;0
3113;0
3114;0
3115;0
3116;0
3117;0
3118;0
3119;0
3120;0
3121;0
3122;0
3123;0
3124;4
3125;0
3127;6
3128;0
3129;0
3130;1
3131;0
3132;3
3133;0
3134;4
3135;1
3136;4
3137;6
3138;0
3139;0
3140;0
3901;0
3902;0
3903;0
3904;0
4001;6
4002;4
4003;0
4004;0
4005;2
4006;0
4007;4
4008;3
4009;1
4010;0
4011;0
4012;6
4013;0
4014;0
4015;0
4016;0
4017;0
4018;6
4019;6
4020;6
4021;5
